Market,State,Issuer_Name,Plan_ID,Plan_Type,Metal_Level,Claims_Received,Claims_Denied,Appeals_Overturned_Rate,Denial_Rate
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990343,PPO,Bronze Expanded,8941,1861,31.1%,20.8%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990126,PPO,Catastrophic,10812,2060,31.1%,19.1%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990176,PPO,Catastrophic,2621,472,31.1%,18.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990177,PPO,Catastrophic,7400,1215,31.1%,16.4%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990178,PPO,Catastrophic,2931,452,31.1%,15.4%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990179,PPO,Catastrophic,539,109,31.1%,20.2%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990180,PPO,Catastrophic,260,20,31.1%,7.7%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990181,PPO,Catastrophic,656,77,31.1%,11.7%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990182,PPO,Catastrophic,378,23,31.1%,6.1%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990184,PPO,Catastrophic,379,66,31.1%,17.4%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990185,PPO,Catastrophic,299,36,31.1%,12.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990186,PPO,Catastrophic,1096,213,31.1%,19.4%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990187,PPO,Catastrophic,1007,202,31.1%,20.1%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810080,HMO,Gold,84764,20381,31.1%,24.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810090,HMO,Gold,38027,9329,31.1%,24.5%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810091,HMO,Gold,32209,7844,31.1%,24.4%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810092,HMO,Gold,14111,3809,31.1%,27.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810093,HMO,Gold,12063,3368,31.1%,27.9%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810094,HMO,Gold,2266,599,31.1%,26.4%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810121,HMO,Gold,3799,1273,31.1%,33.5%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810124,HMO,Gold,1686,532,31.1%,31.6%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810125,HMO,Gold,1982,567,31.1%,28.6%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810126,HMO,Gold,1291,419,31.1%,32.5%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810127,HMO,Gold,724,239,31.1%,33.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810128,HMO,Gold,188,81,31.1%,43.1%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810139,HMO,Gold,1856,430,31.1%,23.2%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810142,HMO,Gold,854,248,31.1%,29.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810143,HMO,Gold,1137,277,31.1%,24.4%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810144,HMO,Gold,693,205,31.1%,29.6%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810145,HMO,Gold,75,16,31.1%,21.3%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990122,PPO,Gold,1031909,125437,31.1%,12.2%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990128,PPO,Gold,207375,25396,31.1%,12.2%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990129,PPO,Gold,369843,58134,31.1%,15.7%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990130,PPO,Gold,173493,29071,31.1%,16.8%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990131,PPO,Gold,67943,9069,31.1%,13.3%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990132,PPO,Gold,31864,4726,31.1%,14.8%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990133,PPO,Gold,42227,6611,31.1%,15.7%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990134,PPO,Gold,11167,1810,31.1%,16.2%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990135,PPO,Gold,11866,1617,31.1%,13.6%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990136,PPO,Gold,30708,4849,31.1%,15.8%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990137,PPO,Gold,21759,3157,31.1%,14.5%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990138,PPO,Gold,60710,11348,31.1%,18.7%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990139,PPO,Gold,45593,7403,31.1%,16.2%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990279,PPO,Gold,62457,10074,31.1%,16.1%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990282,PPO,Gold,13178,1830,31.1%,13.9%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990283,PPO,Gold,22503,4857,31.1%,21.6%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990284,PPO,Gold,12055,2531,31.1%,21.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990285,PPO,Gold,3543,612,31.1%,17.3%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990286,PPO,Gold,2793,371,31.1%,13.3%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990287,PPO,Gold,5317,896,31.1%,16.9%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990288,PPO,Gold,1143,198,31.1%,17.3%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990289,PPO,Gold,1803,314,31.1%,17.4%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990290,PPO,Gold,3575,725,31.1%,20.3%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990291,PPO,Gold,2579,396,31.1%,15.4%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990292,PPO,Gold,3466,638,31.1%,18.4%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990293,PPO,Gold,3031,628,31.1%,20.7%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810081,HMO,Silver,99750,29701,31.1%,29.8%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810096,HMO,Silver,82139,22610,31.1%,27.5%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810097,HMO,Silver,76944,21333,31.1%,27.7%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810098,HMO,Silver,65693,18399,31.1%,28.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810099,HMO,Silver,73011,20188,31.1%,27.7%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810100,HMO,Silver,29533,8085,31.1%,27.4%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810122,HMO,Silver,3226,1180,31.1%,36.6%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810129,HMO,Silver,1149,391,31.1%,34.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810130,HMO,Silver,1984,662,31.1%,33.4%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810131,HMO,Silver,1387,513,31.1%,37.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810132,HMO,Silver,2040,609,31.1%,29.9%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810133,HMO,Silver,1848,647,31.1%,35.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810140,HMO,Silver,1824,585,31.1%,32.1%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810147,HMO,Silver,1223,350,31.1%,28.6%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810148,HMO,Silver,955,325,31.1%,34.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810149,HMO,Silver,408,153,31.1%,37.5%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810150,HMO,Silver,742,218,31.1%,29.4%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0810151,HMO,Silver,325,156,31.1%,48.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990123,PPO,Silver,893069,160413,31.1%,18.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990140,PPO,Silver,316010,56133,31.1%,17.8%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990141,PPO,Silver,499565,105131,31.1%,21.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990142,PPO,Silver,283993,59693,31.1%,21.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990143,PPO,Silver,131749,21300,31.1%,16.2%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990144,PPO,Silver,129581,21279,31.1%,16.4%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990145,PPO,Silver,112848,20809,31.1%,18.4%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990146,PPO,Silver,45323,7816,31.1%,17.2%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990147,PPO,Silver,41572,7120,31.1%,17.1%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990148,PPO,Silver,174252,30913,31.1%,17.7%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990149,PPO,Silver,162035,26332,31.1%,16.3%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990150,PPO,Silver,151916,30312,31.1%,20.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990151,PPO,Silver,175954,31565,31.1%,17.9%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990280,PPO,Silver,135305,24113,31.1%,17.8%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990294,PPO,Silver,26638,4811,31.1%,18.1%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990295,PPO,Silver,49976,10789,31.1%,21.6%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990296,PPO,Silver,28181,6513,31.1%,23.1%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990297,PPO,Silver,15050,2470,31.1%,16.4%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990298,PPO,Silver,9443,1565,31.1%,16.6%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990299,PPO,Silver,13442,2763,31.1%,20.6%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990300,PPO,Silver,3646,620,31.1%,17.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990344,PPO,Silver,7982,1600,31.1%,20.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990345,PPO,Silver,20509,3910,31.1%,19.1%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990346,PPO,Silver,15001,2494,31.1%,16.6%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990347,PPO,Silver,11521,2300,31.1%,20.0%
Individual,IL,Blue Cross Blue Shield of Illinois,36096IL0990348,PPO,Silver,18802,4165,31.1%,22.2%
Individual,IL,Celtic Insurance Company,27833IL0140016,HMO,Bronze Expanded,64904,9250,44.6%,14.3%
Individual,IL,Celtic Insurance Company,27833IL0140069,HMO,Bronze Expanded,4193,760,44.6%,18.1%
Individual,IL,Celtic Insurance Company,27833IL0140073,HMO,Bronze Expanded,37096,5119,44.6%,13.8%
Individual,IL,Celtic Insurance Company,27833IL0150016,HMO,Bronze Expanded,33112,4831,44.6%,14.6%
Individual,IL,Celtic Insurance Company,27833IL0150069,HMO,Bronze Expanded,3843,648,44.6%,16.9%
Individual,IL,Celtic Insurance Company,27833IL0140064,HMO,Gold,15182,2129,44.6%,14.0%
Individual,IL,Celtic Insurance Company,27833IL0140071,HMO,Gold,2812,306,44.6%,10.9%
Individual,IL,Celtic Insurance Company,27833IL0140075,HMO,Gold,5788,945,44.6%,16.3%
Individual,IL,Celtic Insurance Company,27833IL0150059,HMO,Gold,11403,1690,44.6%,14.8%
Individual,IL,Celtic Insurance Company,27833IL0150071,HMO,Gold,1818,280,44.6%,15.4%
Individual,IL,Celtic Insurance Company,27833IL0140061,HMO,Silver,87347,12047,44.6%,13.8%
Individual,IL,Celtic Insurance Company,27833IL0140063,HMO,Silver,443495,56332,44.6%,12.7%
Individual,IL,Celtic Insurance Company,27833IL0140074,HMO,Silver,138785,19080,44.6%,13.7%
Individual,IL,Celtic Insurance Company,27833IL0150058,HMO,Silver,123047,16420,44.6%,13.3%
Individual,IL,"Cigna HealthCare of Illinois, Inc.",53882IL0040002,HMO,Bronze Expanded,19898,4983,45.3%,25.0%
Individual,IL,"Cigna HealthCare of Illinois, Inc.",53882IL0040009,HMO,Bronze Expanded,36969,11356,45.3%,30.7%
Individual,IL,"Cigna HealthCare of Illinois, Inc.",53882IL0040044,HMO,Bronze Expanded,10282,2928,45.3%,28.5%
Individual,IL,"Cigna HealthCare of Illinois, Inc.",53882IL0040048,HMO,Gold,2135,542,45.3%,25.4%
Individual,IL,"Cigna HealthCare of Illinois, Inc.",53882IL0040006,HMO,Silver,41698,10575,45.3%,25.4%
Individual,IL,"Cigna HealthCare of Illinois, Inc.",53882IL0040046,HMO,Silver,16825,4533,45.3%,26.9%
Individual,IL,"Health Alliance Medical Plans, Inc.",20129IL0340035,POS,Bronze Expanded,80330,6108,39.8%,7.6%
Individual,IL,"Health Alliance Medical Plans, Inc.",20129IL0340061,POS,Bronze Expanded,120637,10752,39.8%,8.9%
Individual,IL,"Health Alliance Medical Plans, Inc.",20129IL0340082,POS,Bronze Expanded,73539,5479,39.8%,7.5%
Individual,IL,"Health Alliance Medical Plans, Inc.",20129IL0330020,HMO,Catastrophic,988,75,39.8%,7.6%
Individual,IL,"Health Alliance Medical Plans, Inc.",20129IL0340067,POS,Gold,51817,4043,39.8%,7.8%
Individual,IL,"Health Alliance Medical Plans, Inc.",20129IL0340070,POS,Gold,123210,9732,39.8%,7.9%
Individual,IL,"Health Alliance Medical Plans, Inc.",20129IL0340079,POS,Gold,75203,6340,39.8%,8.4%
Individual,IL,"Health Alliance Medical Plans, Inc.",20129IL0340045,POS,Silver,149736,12166,39.8%,8.1%
Individual,IL,"Health Alliance Medical Plans, Inc.",20129IL0340073,POS,Silver,36297,2681,39.8%,7.4%
Individual,IL,"Health Alliance Medical Plans, Inc.",20129IL0340080,POS,Silver,90541,7380,39.8%,8.2%
Individual,IL,"MercyCare HMO, Inc.",54322IL0090003,HMO,Gold,12153,1254,0.0%,10.3%
Individual,IL,"MercyCare HMO, Inc.",54322IL0090010,HMO,Gold,27118,3078,0.0%,11.4%
Individual,IL,"MercyCare HMO, Inc.",54322IL0090004,HMO,Silver,4327,483,0.0%,11.2%
Individual,IL,"MercyCare HMO, Inc.",54322IL0090006,HMO,Silver,5144,661,0.0%,12.8%
Individual,IL,"MercyCare HMO, Inc.",54322IL0090011,HMO,Silver,6083,779,0.0%,12.8%
Individual,IL,"Molina Healthcare of Illinois, Inc.",32355IL0010001,HMO,Gold,1087,352,38.2%,32.4%
Individual,IL,"Molina Healthcare of Illinois, Inc.",32355IL0010009,HMO,Gold,1256,481,38.2%,38.3%
Individual,IL,"Molina Healthcare of Illinois, Inc.",32355IL0020001,HMO,Gold,6473,2437,38.2%,37.6%
Individual,IL,"Molina Healthcare of Illinois, Inc.",32355IL0010002,HMO,Silver,64093,22236,38.2%,34.7%
Individual,IL,"Molina Healthcare of Illinois, Inc.",32355IL0010010,HMO,Silver,14260,5013,38.2%,35.2%
Individual,IL,"Molina Healthcare of Illinois, Inc.",32355IL0020002,HMO,Silver,4320,1430,38.2%,33.1%
Individual,IL,"Oscar Health Plan, Inc.",11574IL0010050,HMO,Bronze Expanded,4159,985,33.0%,23.7%
Individual,IL,"Oscar Health Plan, Inc.",11574IL0020021,HMO,Bronze Expanded,2677,539,33.0%,20.1%
Individual,IL,"Oscar Health Plan, Inc.",11574IL0020024,HMO,Bronze Expanded,3060,707,33.0%,23.1%
Individual,IL,"Oscar Health Plan, Inc.",11574IL0020050,HMO,Bronze Expanded,2670,550,33.0%,20.6%
Individual,IL,"Oscar Health Plan, Inc.",11574IL0010011,HMO,Catastrophic,312,27,33.0%,8.7%
Individual,IL,"Oscar Health Plan, Inc.",11574IL0010053,HMO,Gold,12569,2794,33.0%,22.2%
Individual,IL,"Oscar Health Plan, Inc.",11574IL0020053,HMO,Gold,1555,316,33.0%,20.3%
Individual,IL,"Oscar Health Plan, Inc.",11574IL0010045,HMO,Silver,1954,511,33.0%,26.2%
Individual,IL,"Oscar Health Plan, Inc.",11574IL0010052,HMO,Silver,4222,848,33.0%,20.1%
Individual,IL,"Oscar Health Plan, Inc.",11574IL0020025,HMO,Silver,8790,1523,33.0%,17.3%
Individual,IL,"Oscar Health Plan, Inc.",11574IL0020030,HMO,Silver,5332,1112,33.0%,20.9%
Individual,IL,"Oscar Health Plan, Inc.",11574IL0020052,HMO,Silver,1713,299,33.0%,17.5%
Individual,IL,Quartz Health Benefit Plans Corporation,85773IL0030011,HMO,Bronze Expanded,9868,601,0.0%,6.1%
Individual,IL,Quartz Health Benefit Plans Corporation,85773IL0030040,HMO,Bronze Expanded,5450,563,0.0%,10.3%
Individual,IL,Quartz Health Benefit Plans Corporation,85773IL0030044,HMO,Bronze Expanded,1200,33,0.0%,2.8%
Individual,IL,Quartz Health Benefit Plans Corporation,85773IL0030033,HMO,Gold,9538,688,0.0%,7.2%
Individual,IL,Quartz Health Benefit Plans Corporation,85773IL0030038,HMO,Silver,1769,83,0.0%,4.7%
Individual,IL,"UnitedHealthcare of Illinois, Inc.",42529IL0070018,HMO,Bronze Expanded,38315,8556,39.2%,22.3%
Individual,IL,"UnitedHealthcare of Illinois, Inc.",42529IL0070021,HMO,Bronze Expanded,24609,4831,39.2%,19.6%
Individual,IL,"UnitedHealthcare of Illinois, Inc.",42529IL0070012,HMO,Gold,1833,354,39.2%,19.3%
Individual,IL,"UnitedHealthcare of Illinois, Inc.",42529IL0070013,HMO,Silver,91853,18176,39.2%,19.8%
Individual,IL,"UnitedHealthcare of Illinois, Inc.",42529IL0070017,HMO,Silver,15587,3209,39.2%,20.6%
Individual,IN,Anthem Ins Companies Inc(Anthem BCBS),17575IN0700045,HMO,Bronze,13656,4419,42.6%,32.4%
Individual,IN,Anthem Ins Companies Inc(Anthem BCBS),17575IN0700053,HMO,Bronze Expanded,38261,12707,42.6%,33.2%
Individual,IN,Anthem Ins Companies Inc(Anthem BCBS),17575IN0700058,HMO,Bronze Expanded,40827,11500,42.6%,28.2%
Individual,IN,Anthem Ins Companies Inc(Anthem BCBS),17575IN0700065,HMO,Bronze Expanded,81814,28636,42.6%,35.0%
Individual,IN,Anthem Ins Companies Inc(Anthem BCBS),17575IN0760005,POS,Bronze Expanded,81496,27817,42.6%,34.1%
Individual,IN,Anthem Ins Companies Inc(Anthem BCBS),17575IN0760007,POS,Bronze Expanded,88682,29851,42.6%,33.7%
Individual,IN,Anthem Ins Companies Inc(Anthem BCBS),17575IN0700056,HMO,Gold,8245,2581,42.6%,31.3%
Individual,IN,Anthem Ins Companies Inc(Anthem BCBS),17575IN0700067,HMO,Gold,7258,2446,42.6%,33.7%
Individual,IN,Anthem Ins Companies Inc(Anthem BCBS),17575IN0700055,HMO,Silver,134275,39179,42.6%,29.2%
Individual,IN,Anthem Ins Companies Inc(Anthem BCBS),17575IN0700061,HMO,Silver,11948,3607,42.6%,30.2%
Individual,IN,Anthem Ins Companies Inc(Anthem BCBS),17575IN0700062,HMO,Silver,14588,4154,42.6%,28.5%
Individual,IN,Anthem Ins Companies Inc(Anthem BCBS),17575IN0700066,HMO,Silver,229447,71069,42.6%,31.0%
Individual,IN,"CareSource Indiana, Inc.",54192IN0010020,HMO,Bronze,145279,32276,30.0%,22.2%
Individual,IN,"CareSource Indiana, Inc.",54192IN0020020,HMO,Bronze,51022,6547,30.0%,12.8%
Individual,IN,"CareSource Indiana, Inc.",54192IN0010010,HMO,Bronze Expanded,141909,26746,30.0%,18.8%
Individual,IN,"CareSource Indiana, Inc.",54192IN0010015,HMO,Bronze Expanded,754653,158146,30.0%,21.0%
Individual,IN,"CareSource Indiana, Inc.",54192IN0020015,HMO,Bronze Expanded,215268,25097,30.0%,11.7%
Individual,IN,"CareSource Indiana, Inc.",54192IN0010012,HMO,Gold,37646,9060,30.0%,24.1%
Individual,IN,"CareSource Indiana, Inc.",54192IN0020012,HMO,Gold,13583,1875,30.0%,13.8%
Individual,IN,"CareSource Indiana, Inc.",54192IN0010011,HMO,Silver,440945,55639,30.0%,12.6%
Individual,IN,"CareSource Indiana, Inc.",54192IN0010014,HMO,Silver,362360,78042,30.0%,21.5%
Individual,IN,"CareSource Indiana, Inc.",54192IN0020011,HMO,Silver,235075,27951,30.0%,11.9%
Individual,IN,"CareSource Indiana, Inc.",54192IN0020014,HMO,Silver,98983,11877,30.0%,12.0%
Individual,IN,Cigna Health and Life Insurance Company,94419IN0010001,EPO,Bronze Expanded,11266,2948,45.1%,26.2%
Individual,IN,Cigna Health and Life Insurance Company,94419IN0010002,EPO,Bronze Expanded,13572,3200,45.1%,23.6%
Individual,IN,Cigna Health and Life Insurance Company,94419IN0010004,EPO,Bronze Expanded,23718,6283,45.1%,26.5%
Individual,IN,Cigna Health and Life Insurance Company,94419IN0010013,EPO,Bronze Expanded,8649,2060,45.1%,23.8%
Individual,IN,Cigna Health and Life Insurance Company,94419IN0010008,EPO,Gold,533,79,45.1%,14.8%
Individual,IN,Cigna Health and Life Insurance Company,94419IN0010009,EPO,Silver,34189,8538,45.1%,25.0%
Individual,IN,Cigna Health and Life Insurance Company,94419IN0010011,EPO,Silver,26172,6643,45.1%,25.4%
Individual,IN,Cigna Health and Life Insurance Company,94419IN0010012,EPO,Silver,137426,40616,45.1%,29.6%
Individual,KS,Blue Cross and Blue Shield of Kansas City,94248KS0560008,EPO,Bronze Expanded,21168,4204,44.4%,19.9%
Individual,KS,Blue Cross and Blue Shield of Kansas City,94248KS0560009,EPO,Bronze Expanded,8171,1253,44.4%,15.3%
Individual,KS,Blue Cross and Blue Shield of Kansas City,94248KS0560015,EPO,Bronze Expanded,7323,1364,44.4%,18.6%
Individual,KS,Blue Cross and Blue Shield of Kansas City,94248KS0560012,EPO,Catastrophic,43,17,44.4%,39.5%
Individual,KS,Blue Cross and Blue Shield of Kansas City,94248KS0560007,EPO,Gold,10518,2335,44.4%,22.2%
Individual,KS,Blue Cross and Blue Shield of Kansas City,94248KS0560002,EPO,Silver,2471,513,44.4%,20.8%
Individual,KS,Blue Cross and Blue Shield of Kansas City,94248KS0560004,EPO,Silver,12026,2624,44.4%,21.8%
Individual,KS,Blue Cross and Blue Shield of Kansas City,94248KS0560014,EPO,Silver,2514,512,44.4%,20.4%
Individual,KS,"Blue Cross and Blue Shield of Kansas, Inc.",18558KS0400009,EPO,Bronze Expanded,97521,11456,46.9%,11.7%
Individual,KS,"Blue Cross and Blue Shield of Kansas, Inc.",18558KS0400010,EPO,Bronze Expanded,96719,11342,46.9%,11.7%
Individual,KS,"Blue Cross and Blue Shield of Kansas, Inc.",18558KS0420002,EPO,Bronze Expanded,55007,6072,46.9%,11.0%
Individual,KS,"Blue Cross and Blue Shield of Kansas, Inc.",18558KS0400006,EPO,Gold,396966,46918,46.9%,11.8%
Individual,KS,"Blue Cross and Blue Shield of Kansas, Inc.",18558KS0420004,EPO,Gold,93504,11217,46.9%,12.0%
Individual,KS,"Blue Cross and Blue Shield of Kansas, Inc.",18558KS0400008,EPO,Silver,151074,17953,46.9%,11.9%
Individual,KS,"Blue Cross and Blue Shield of Kansas, Inc.",18558KS0400013,EPO,Silver,267855,30146,46.9%,11.3%
Individual,KS,"Blue Cross and Blue Shield of Kansas, Inc.",18558KS0420003,EPO,Silver,81221,10628,46.9%,13.1%
Individual,KS,Celtic Insurance Company,34368KS0110043,EPO,Bronze Expanded,110032,14992,47.6%,13.6%
Individual,KS,Celtic Insurance Company,34368KS0110047,EPO,Bronze Expanded,158359,21271,47.6%,13.4%
Individual,KS,Celtic Insurance Company,34368KS0110068,EPO,Bronze Expanded,51626,7088,47.6%,13.7%
Individual,KS,Celtic Insurance Company,34368KS0120043,EPO,Bronze Expanded,31764,4266,47.6%,13.4%
Individual,KS,Celtic Insurance Company,34368KS0120047,EPO,Bronze Expanded,43749,5767,47.6%,13.2%
Individual,KS,Celtic Insurance Company,34368KS0110033,EPO,Gold,148431,19411,47.6%,13.1%
Individual,KS,Celtic Insurance Company,34368KS0110066,EPO,Gold,54855,7267,47.6%,13.2%
Individual,KS,Celtic Insurance Company,34368KS0110070,EPO,Gold,36021,5305,47.6%,14.7%
Individual,KS,Celtic Insurance Company,34368KS0120033,EPO,Gold,66372,8815,47.6%,13.3%
Individual,KS,Celtic Insurance Company,34368KS0120068,EPO,Gold,32219,4572,47.6%,14.2%
Individual,KS,Celtic Insurance Company,34368KS0110049,EPO,Silver,431479,55719,47.6%,12.9%
Individual,KS,Celtic Insurance Company,34368KS0110053,EPO,Silver,421002,53896,47.6%,12.8%
Individual,KS,Celtic Insurance Company,34368KS0110069,EPO,Silver,289679,41605,47.6%,14.4%
Individual,KS,Celtic Insurance Company,34368KS0120053,EPO,Silver,213547,29499,47.6%,13.8%
Individual,KS,Medica Insurance Company,39520KS0040029,EPO,Bronze Expanded,3713,1336,37.7%,36.0%
Individual,KS,Medica Insurance Company,39520KS0040041,EPO,Bronze Expanded,9984,3365,37.7%,33.7%
Individual,KS,Medica Insurance Company,39520KS0040045,EPO,Gold,10513,3292,37.7%,31.3%
Individual,KS,Medica Insurance Company,39520KS0040055,EPO,Gold,931,325,37.7%,34.9%
Individual,KS,Medica Insurance Company,39520KS0040057,EPO,Silver,3168,953,37.7%,30.1%
Individual,KS,Oscar Insurance Company,43490KS0010005,EPO,Bronze Expanded,8114,1705,54.6%,21.0%
Individual,KS,Oscar Insurance Company,43490KS0010024,EPO,Bronze Expanded,6202,1310,54.6%,21.1%
Individual,KS,Oscar Insurance Company,43490KS0010050,EPO,Bronze Expanded,2803,537,54.6%,19.2%
Individual,KS,Oscar Insurance Company,43490KS0010011,EPO,Catastrophic,1118,258,54.6%,23.1%
Individual,KS,Oscar Insurance Company,43490KS0010053,EPO,Gold,4527,864,54.6%,19.1%
Individual,KS,Oscar Insurance Company,43490KS0010006,EPO,Silver,4577,791,54.6%,17.3%
Individual,KS,Oscar Insurance Company,43490KS0010025,EPO,Silver,7462,1336,54.6%,17.9%
Individual,KS,Oscar Insurance Company,43490KS0010045,EPO,Silver,1770,379,54.6%,21.4%
Individual,KS,Oscar Insurance Company,43490KS0010052,EPO,Silver,1323,269,54.6%,20.3%
Individual,KS,UnitedHealthcare Insurance Company,94968KS0090011,EPO,Bronze Expanded,67586,12188,39.2%,18.0%
Individual,KS,UnitedHealthcare Insurance Company,94968KS0090013,EPO,Bronze Expanded,24029,3980,39.2%,16.6%
Individual,KS,UnitedHealthcare Insurance Company,94968KS0090003,EPO,Gold,4230,552,39.2%,13.0%
Individual,KS,UnitedHealthcare Insurance Company,94968KS0090004,EPO,Silver,14965,2547,39.2%,17.0%
Individual,KS,UnitedHealthcare Insurance Company,94968KS0090008,EPO,Silver,6532,946,39.2%,14.5%
Individual,LA,CHRISTUS Health Plan Louisiana,98780LA0040001,HMO,Bronze Expanded,3323,616,10.4%,18.5%
