Individual Marketplace Medical Qualified Health Plans (QHPs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legend 
*                              Data not available for this issuer/plan
Individual,FFE,WY,Montana Health Cooperative,38576,No,No,38576WY0020010,Returning,PPO,QHP,Bronze Expanded,https://mountainhealth.coop/members/,50762,522287,18419,43501,4073,26444,1095,259,23.7,**,**,**,1762,14429,630,995,127,681,**,630,41,57,70,**,**,104,378,461,705,76
Individual,FFE,WY,Montana Health Cooperative,38576,No,No,38576WY0020011,New,PPO,QHP,Gold,https://mountainhealth.coop/members/,50762,522287,18419,43501,4073,26444,1095,259,23.7,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,UT,Aetna Health of Utah Inc.,38927,Yes,No,38927UT0380001,New,HMO,QHP,Bronze Expanded,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,UT,Aetna Health of Utah Inc.,38927,Yes,No,38927UT0380002,New,HMO,QHP,Bronze Expanded,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,UT,Aetna Health of Utah Inc.,38927,Yes,No,38927UT0380003,New,HMO,QHP,Bronze Expanded,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,UT,Aetna Health of Utah Inc.,38927,Yes,No,38927UT0380004,New,HMO,QHP,Gold,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,UT,Aetna Health of Utah Inc.,38927,Yes,No,38927UT0380005,New,HMO,QHP,Gold,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,UT,Aetna Health of Utah Inc.,38927,Yes,No,38927UT0380006,New,HMO,QHP,Silver,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,UT,Aetna Health of Utah Inc.,38927,Yes,No,38927UT0380008,New,HMO,QHP,Silver,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,UT,Aetna Health of Utah Inc.,38927,Yes,No,38927UT0380009,New,HMO,QHP,Silver,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,UT,Aetna Health of Utah Inc.,38927,Yes,No,38927UT0380010,New,HMO,QHP,Gold,https://www.aetna.com/individuals-families/member-rights-resources/how-an-individual-plan-works.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SBE-FP,OR,"Moda Health Plan, Inc.",39424,No,No,39424OR1660001,New,EPO,QHP,Silver,https://www.modahealth.com/members/transparency.shtml?state=or,43464,954353,22853,143470,1282,54925,149,48,32.2,15,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SBE-FP,OR,"Moda Health Plan, Inc.",39424,No,No,39424OR1660002,New,EPO,QHP,Bronze Expanded,https://www.modahealth.com/members/transparency.shtml?state=or,43464,954353,22853,143470,1282,54925,149,48,32.2,15,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SBE-FP,OR,"Moda Health Plan, Inc.",39424,No,No,39424OR1670001,New,EPO,QHP,Gold,https://www.modahealth.com/members/transparency.shtml?state=or,43464,954353,22853,143470,1282,54925,149,48,32.2,15,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SBE-FP,OR,"Moda Health Plan, Inc.",39424,No,No,39424OR1670002,New,EPO,QHP,Silver,https://www.modahealth.com/members/transparency.shtml?state=or,43464,954353,22853,143470,1282,54925,149,48,32.2,15,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SBE-FP,OR,"Moda Health Plan, Inc.",39424,No,No,39424OR1670003,New,EPO,QHP,Bronze Expanded,https://www.modahealth.com/members/transparency.shtml?state=or,43464,954353,22853,143470,1282,54925,149,48,32.2,15,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SBE-FP,OR,"Moda Health Plan, Inc.",39424,No,No,39424OR1680002,New,EPO,QHP,Silver,https://www.modahealth.com/members/transparency.shtml?state=or,43464,954353,22853,143470,1282,54925,149,48,32.2,15,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SBE-FP,OR,"Moda Health Plan, Inc.",39424,No,No,39424OR1680004,New,EPO,QHP,Silver,https://www.modahealth.com/members/transparency.shtml?state=or,43464,954353,22853,143470,1282,54925,149,48,32.2,15,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SBE-FP,OR,"Moda Health Plan, Inc.",39424,No,No,39424OR1680005,New,EPO,QHP,Bronze Expanded,https://www.modahealth.com/members/transparency.shtml?state=or,43464,954353,22853,143470,1282,54925,149,48,32.2,15,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SBE-FP,OR,"Moda Health Plan, Inc.",39424,No,No,39424OR1680007,New,EPO,QHP,Bronze Expanded,https://www.modahealth.com/members/transparency.shtml?state=or,43464,954353,22853,143470,1282,54925,149,48,32.2,15,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SBE-FP,OR,"Moda Health Plan, Inc.",39424,No,No,39424OR1680008,New,EPO,QHP,Gold,https://www.modahealth.com/members/transparency.shtml?state=or,43464,954353,22853,143470,1282,54925,149,48,32.2,15,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SBE-FP,OR,"Moda Health Plan, Inc.",39424,No,No,39424OR1690001,New,EPO,QHP,Gold,https://www.modahealth.com/members/transparency.shtml?state=or,43464,954353,22853,143470,1282,54925,149,48,32.2,15,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SBE-FP,OR,"Moda Health Plan, Inc.",39424,No,No,39424OR1690003,New,EPO,QHP,Silver,https://www.modahealth.com/members/transparency.shtml?state=or,43464,954353,22853,143470,1282,54925,149,48,32.2,15,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SBE-FP,OR,"Moda Health Plan, Inc.",39424,No,No,39424OR1700001,New,EPO,QHP,Gold,https://www.modahealth.com/members/transparency.shtml?state=or,43464,954353,22853,143470,1282,54925,149,48,32.2,15,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,KS,Medica Insurance Company,39520,No,No,39520KS0040029,Returning,EPO,QHP,Bronze Expanded,https://www.medica.com/transparency-in-coverage,3043,66642,3348,22666,638,2625,53,20,37.7,**,**,**,45,3713,47,1336,29,136,92,**,21,**,**,41,196,**,508,525,131,23
Individual,SPE,KS,Medica Insurance Company,39520,No,No,39520KS0040041,Returning,EPO,QHP,Bronze Expanded,https://www.medica.com/transparency-in-coverage,3043,66642,3348,22666,638,2625,53,20,37.7,**,**,**,173,9984,153,3365,44,302,180,**,28,**,**,185,398,**,1531,1193,310,49
Individual,SPE,KS,Medica Insurance Company,39520,No,No,39520KS0040045,Returning,EPO,QHP,Gold,https://www.medica.com/transparency-in-coverage,3043,66642,3348,22666,638,2625,53,20,37.7,**,**,**,1188,10513,1191,3292,32,283,195,**,44,**,**,183,1400,**,1422,1235,149,17
Individual,SPE,KS,Medica Insurance Company,39520,No,No,39520KS0040055,Returning,EPO,QHP,Gold,https://www.medica.com/transparency-in-coverage,3043,66642,3348,22666,638,2625,53,20,37.7,**,**,**,85,931,101,325,**,32,55,**,**,**,**,**,126,**,128,105,22,**
Individual,SPE,KS,Medica Insurance Company,39520,No,No,39520KS0040057,Returning,EPO,QHP,Silver,https://www.medica.com/transparency-in-coverage,3043,66642,3348,22666,638,2625,53,20,37.7,**,**,**,39,3168,37,953,**,174,46,**,14,**,**,28,112,**,490,300,34,**
Individual,SPE,KS,Medica Insurance Company,39520,No,No,39520KS0040073,New,EPO,QHP,Bronze Expanded,https://www.medica.com/transparency-in-coverage,3043,66642,3348,22666,638,2625,53,20,37.7,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,KS,Medica Insurance Company,39520,No,No,39520KS0040074,New,EPO,QHP,Silver,https://www.medica.com/transparency-in-coverage,3043,66642,3348,22666,638,2625,53,20,37.7,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,KS,Medica Insurance Company,39520,No,No,39520KS0040075,New,EPO,QHP,Gold,https://www.medica.com/transparency-in-coverage,3043,66642,3348,22666,638,2625,53,20,37.7,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,KS,Medica Insurance Company,39520,No,No,39520KS0040076,New,EPO,QHP,Silver,https://www.medica.com/transparency-in-coverage,3043,66642,3348,22666,638,2625,53,20,37.7,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,"Molina Healthcare of Michigan, Inc.",40047,No,No,40047MI0010001,Returning,HMO,QHP,Gold,https://www.molinamarketplace.com/marketplace/mi/en-us/FAQ.aspx,32309,516902,18054,127780,5093,85343,116,52,44.8,**,**,**,2595,45290,1409,10613,1606,7242,8754,1209,589,8600,1473,8156,5021,114,8967,8389,1453,202
Individual,SPE,MI,"Molina Healthcare of Michigan, Inc.",40047,No,No,40047MI0010002,Returning,HMO,QHP,Silver,https://www.molinamarketplace.com/marketplace/mi/en-us/FAQ.aspx,32309,516902,18054,127780,5093,85343,116,52,44.8,**,**,**,19944,318890,10949,77491,2177,52109,61320,9362,2793,62257,11872,61185,34519,936,67521,58135,10898,1540
Individual,SPE,MI,"Molina Healthcare of Michigan, Inc.",40047,No,No,40047MI0010008,Returning,HMO,QHP,Gold,https://www.molinamarketplace.com/marketplace/mi/en-us/FAQ.aspx,32309,516902,18054,127780,5093,85343,116,52,44.8,**,**,**,1049,17748,645,4759,144,3093,4178,598,104,3586,1115,3557,2238,50,3886,3937,561,94
Individual,SPE,MI,"Molina Healthcare of Michigan, Inc.",40047,No,No,40047MI0010009,Returning,HMO,QHP,Silver,https://www.molinamarketplace.com/marketplace/mi/en-us/FAQ.aspx,32309,516902,18054,127780,5093,85343,116,52,44.8,**,**,**,4837,60145,2761,16776,545,10892,13533,2507,669,13587,2392,12291,6835,193,13682,12658,2106,339
Individual,SPE,MI,"Molina Healthcare of Michigan, Inc.",40047,No,No,40047MI0010010,New,HMO,QHP,Silver,https://www.molinamarketplace.com/marketplace/mi/en-us/FAQ.aspx,32309,516902,18054,127780,5093,85343,116,52,44.8,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,"Molina Healthcare of Michigan, Inc.",40047,No,No,40047MI0080001,Returning,HMO,QHP,Gold,https://www.molinamarketplace.com/marketplace/mi/en-us/FAQ.aspx,32309,516902,18054,127780,5093,85343,116,52,44.8,**,**,**,1261,20162,724,5037,269,3364,4208,633,244,3796,1027,3748,2236,59,4077,4068,613,96
Individual,SPE,MI,"Molina Healthcare of Michigan, Inc.",40047,No,No,40047MI0080002,Returning,HMO,QHP,Silver,https://www.molinamarketplace.com/marketplace/mi/en-us/FAQ.aspx,32309,516902,18054,127780,5093,85343,116,52,44.8,**,**,**,2623,54667,1566,13104,352,8643,10191,1354,730,10653,2070,10483,5801,159,11422,9785,1716,243
Individual,FFE,TX,"UnitedHealthcare of Texas, Inc.",40220,No,No,40220TX0080010,Returning,HMO,QHP,Bronze Expanded,https://www.uhc.com/transparency,1340598,4410706,833698,1371536,164969,771139,4765,1651,34.6,26,**,**,201722,480986,28494,101098,23044,81724,37958,7498,23621,35,25,**,32808,**,19759,88426,30845,7433
Individual,FFE,TX,"UnitedHealthcare of Texas, Inc.",40220,No,No,40220TX0080013,Returning,HMO,QHP,Gold,https://www.uhc.com/transparency,1340598,4410706,833698,1371536,164969,771139,4765,1651,34.6,26,**,**,509712,1383996,62444,248866,64919,241669,55160,22455,74624,105,**,**,56238,**,50132,239170,81335,14285
Individual,FFE,TX,"UnitedHealthcare of Texas, Inc.",40220,No,No,40220TX0080015,Returning,HMO,QHP,Bronze Expanded,https://www.uhc.com/transparency,1340598,4410706,833698,1371536,164969,771139,4765,1651,34.6,26,**,**,75021,175875,11072,31939,9153,30886,13919,3199,8434,18,11,**,8884,**,7319,35374,11388,3019
Individual,FFE,TX,"UnitedHealthcare of Texas, Inc.",40220,No,No,40220TX0080020,Returning,HMO,QHP,Silver,https://www.uhc.com/transparency,1340598,4410706,833698,1371536,164969,771139,4765,1651,34.6,26,**,**,11951,67445,1708,10309,1807,12714,5662,763,3118,**,**,**,1781,**,1937,11067,1293,268
Individual,FFE,TX,"UnitedHealthcare of Texas, Inc.",40220,No,No,40220TX0080024,Returning,HMO,QHP,Gold,https://www.uhc.com/transparency,1340598,4410706,833698,1371536,164969,771139,4765,1651,34.6,26,**,**,8879,43489,1141,7541,1465,8333,4213,567,2352,**,**,**,1344,**,1325,7467,1095,240
Individual,FFE,TX,"UnitedHealthcare of Texas, Inc.",40220,No,No,40220TX0080025,New,HMO,QHP,Silver,https://www.uhc.com/transparency,1340598,4410706,833698,1371536,164969,771139,4765,1651,34.6,26,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,TX,"UnitedHealthcare of Texas, Inc.",40220,No,No,40220TX0080026,New,HMO,QHP,Silver,https://www.uhc.com/transparency,1340598,4410706,833698,1371536,164969,771139,4765,1651,34.6,26,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,TX,"UnitedHealthcare of Texas, Inc.",40220,No,No,40220TX0080028,New,HMO,QHP,Gold,https://www.uhc.com/transparency,1340598,4410706,833698,1371536,164969,771139,4765,1651,34.6,26,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,TX,"UnitedHealthcare of Texas, Inc.",40220,No,No,40220TX0080031,New,HMO,QHP,Bronze Expanded,https://www.uhc.com/transparency,1340598,4410706,833698,1371536,164969,771139,4765,1651,34.6,26,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,TX,"UnitedHealthcare of Texas, Inc.",40220,No,No,40220TX0080032,New,HMO,QHP,Bronze Expanded,https://www.uhc.com/transparency,1340598,4410706,833698,1371536,164969,771139,4765,1651,34.6,26,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,TX,"UnitedHealthcare of Texas, Inc.",40220,No,No,40220TX0080033,New,HMO,QHP,Silver,https://www.uhc.com/transparency,1340598,4410706,833698,1371536,164969,771139,4765,1651,34.6,26,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,TX,"UnitedHealthcare of Texas, Inc.",40220,No,No,40220TX0080034,New,HMO,QHP,Gold,https://www.uhc.com/transparency,1340598,4410706,833698,1371536,164969,771139,4765,1651,34.6,26,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,TX,"UnitedHealthcare of Texas, Inc.",40220,No,No,40220TX0090001,New,HMO,QHP,Silver,https://www.uhc.com/transparency,1340598,4410706,833698,1371536,164969,771139,4765,1651,34.6,26,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,TX,"UnitedHealthcare of Texas, Inc.",40220,No,No,40220TX0090002,New,HMO,QHP,Gold,https://www.uhc.com/transparency,1340598,4410706,833698,1371536,164969,771139,4765,1651,34.6,26,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,TX,"UnitedHealthcare of Texas, Inc.",40220,No,No,40220TX0090003,New,HMO,QHP,Bronze Expanded,https://www.uhc.com/transparency,1340598,4410706,833698,1371536,164969,771139,4765,1651,34.6,26,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,TX,"UnitedHealthcare of Texas, Inc.",40220,No,No,40220TX0090004,New,HMO,QHP,Silver,https://www.uhc.com/transparency,1340598,4410706,833698,1371536,164969,771139,4765,1651,34.6,26,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,HAP CareSource,40356,Yes,No,40356MI0010001,New,HMO,QHP,Gold,https://www.caresource.com/mi/plans/marketplace/plan-documents/general-plan-information/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,HAP CareSource,40356,Yes,No,40356MI0010002,New,HMO,QHP,Gold,https://www.caresource.com/mi/plans/marketplace/plan-documents/general-plan-information/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,HAP CareSource,40356,Yes,No,40356MI0010003,New,HMO,QHP,Gold,https://www.caresource.com/mi/plans/marketplace/plan-documents/general-plan-information/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,HAP CareSource,40356,Yes,No,40356MI0010004,New,HMO,QHP,Silver,https://www.caresource.com/mi/plans/marketplace/plan-documents/general-plan-information/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,HAP CareSource,40356,Yes,No,40356MI0010005,New,HMO,QHP,Silver,https://www.caresource.com/mi/plans/marketplace/plan-documents/general-plan-information/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,HAP CareSource,40356,Yes,No,40356MI0010006,New,HMO,QHP,Silver,https://www.caresource.com/mi/plans/marketplace/plan-documents/general-plan-information/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,HAP CareSource,40356,Yes,No,40356MI0010007,New,HMO,QHP,Silver,https://www.caresource.com/mi/plans/marketplace/plan-documents/general-plan-information/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,HAP CareSource,40356,Yes,No,40356MI0010008,New,HMO,QHP,Silver,https://www.caresource.com/mi/plans/marketplace/plan-documents/general-plan-information/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,HAP CareSource,40356,Yes,No,40356MI0010009,New,HMO,QHP,Bronze Expanded,https://www.caresource.com/mi/plans/marketplace/plan-documents/general-plan-information/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,HAP CareSource,40356,Yes,No,40356MI0020001,New,HMO,QHP,Gold,https://www.caresource.com/mi/plans/marketplace/plan-documents/general-plan-information/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,HAP CareSource,40356,Yes,No,40356MI0020002,New,HMO,QHP,Gold,https://www.caresource.com/mi/plans/marketplace/plan-documents/general-plan-information/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,HAP CareSource,40356,Yes,No,40356MI0020003,New,HMO,QHP,Gold,https://www.caresource.com/mi/plans/marketplace/plan-documents/general-plan-information/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,HAP CareSource,40356,Yes,No,40356MI0020004,New,HMO,QHP,Silver,https://www.caresource.com/mi/plans/marketplace/plan-documents/general-plan-information/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,HAP CareSource,40356,Yes,No,40356MI0020005,New,HMO,QHP,Silver,https://www.caresource.com/mi/plans/marketplace/plan-documents/general-plan-information/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,HAP CareSource,40356,Yes,No,40356MI0020006,New,HMO,QHP,Silver,https://www.caresource.com/mi/plans/marketplace/plan-documents/general-plan-information/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,HAP CareSource,40356,Yes,No,40356MI0020007,New,HMO,QHP,Silver,https://www.caresource.com/mi/plans/marketplace/plan-documents/general-plan-information/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,HAP CareSource,40356,Yes,No,40356MI0020009,New,HMO,QHP,Bronze Expanded,https://www.caresource.com/mi/plans/marketplace/plan-documents/general-plan-information/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,FL,Oscar Insurance Company of Florida,40572,No,No,40572FL0070005,Returning,EPO,QHP,Bronze Expanded,https://hioscar.com/fl_tic_2025,1325715,16627306,591442,2806266,30126,299257,221043,99456,45,571,92,16.1,33604,272427,15822,55638,1086,4693,4025,9957,8088,1676,64,16250,61,197,29669,1473,16094,2769
