Individual Marketplace Medical Qualified Health Plans (QHPs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legend 
*                              Data not available for this issuer/plan
Individual,FFE,IN,"Delta Dental Plan of Indiana, Inc.",28856,No,Yes,28856IN0220003,New,PPO,SADP,High,https://www.deltadentalin.com/Member/Using-Your-Benefits/Affordable-Care-Act,1555,20066,611,4908,111,1344,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,IN,"Delta Dental Plan of Indiana, Inc.",28856,No,Yes,28856IN0230001,Returning,PPO,SADP,High,https://www.deltadentalin.com/Member/Using-Your-Benefits/Affordable-Care-Act,1555,20066,611,4908,111,1344,**,**,**,**,**,**,**,23,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
Individual,FFE,IN,"Delta Dental Plan of Indiana, Inc.",28856,No,Yes,28856IN0230002,Returning,PPO,SADP,Low,https://www.deltadentalin.com/Member/Using-Your-Benefits/Affordable-Care-Act,1555,20066,611,4908,111,1344,**,**,**,**,**,**,**,47,**,11,**,**,**,**,**,**,**,**,**,**,**,**,**
Individual,SPE,OH,Community Insurance Company(Anthem BCBS),29276,No,No,29276OH0830003,Returning,PPO,SADP,Low,https://www.anthem.com/ms/claims/home.html,248466,3309316,164768,731789,30394,454382,793,259,32.7,**,**,**,1537,3766,293,274,11,43,**,**,249,**,**,**,**,**,318,1197,206
Individual,SPE,OH,Community Insurance Company(Anthem BCBS),29276,No,No,29276OH0830004,Returning,PPO,SADP,High,https://www.anthem.com,248466,3309316,164768,731789,30394,454382,793,259,32.7,**,**,**,1356,3732,294,403,20,70,**,**,201,**,**,**,**,**,496,1014,171
Individual,SPE,OH,Community Insurance Company(Anthem BCBS),29276,No,No,29276OH0830005,Returning,PPO,SADP,Low,https://www.anthem.com/ms/claims/home.html,248466,3309316,164768,731789,30394,454382,793,259,32.7,**,**,**,1190,2958,153,387,**,25,**,**,335,**,**,**,**,**,205,1012,182
Individual,SPE,OH,Community Insurance Company(Anthem BCBS),29276,No,No,29276OH0830006,Returning,PPO,SADP,Low,https://www.anthem.com/ms/claims/home.html,248466,3309316,164768,731789,30394,454382,793,259,32.7,**,**,**,1147,2520,260,360,**,43,**,**,419,**,**,**,**,**,201,1034,214
Individual,FFE,MO,BEST Life and Health Insurance Company,29416,No,Yes,29416MO0020003,Returning,PPO,SADP,High,https://www.bestlife.com/MO/index.html,30,70,12,37,**,**,**,**,**,**,**,**,16,24,**,17,**,**,**,**,16,**,**,**,**,**,**,334,79
Individual,FFE,MO,BEST Life and Health Insurance Company,29416,No,Yes,29416MO0020006,Returning,PPO,SADP,Low,https://www.bestlife.com/MO/index.html,30,70,12,37,**,**,**,**,**,**,**,**,**,26,**,**,**,**,**,**,**,**,**,**,**,**,**,282,62
Individual,FFE,MO,BEST Life and Health Insurance Company,29416,No,Yes,29416MO0020007,New,PPO,SADP,High,https://www.bestlife.com/MO/index.html,30,70,12,37,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,MO,BEST Life and Health Insurance Company,29416,No,Yes,29416MO0020008,New,PPO,SADP,Low,https://www.bestlife.com/MO/index.html,30,70,12,37,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,AZ,"Arizona Dental Insurance Service, Inc.",30045,No,Yes,30045AZ0010021,Returning,PPO,SADP,Low,https://www.deltadentalaz.com/shop-for-plans/aca-dental-plans/,1500,38723,969,11594,168,2441,**,**,**,**,**,**,907,26282,603,7760,115,1782,**,1034,5503,103,**,900,**,785,2194,5343,740
Individual,FFE,AZ,"Arizona Dental Insurance Service, Inc.",30045,No,Yes,30045AZ0010032,Returning,PPO,SADP,High,https://www.deltadentalaz.com/shop-for-plans/aca-dental-plans/,1500,38723,969,11594,168,2441,**,**,**,**,**,**,593,12441,366,3834,53,659,**,632,2207,**,420,290,**,473,1624,1866,263
Individual,FFE,FL,Florida Combined Life Insurance Company,30115,No,Yes,30115FL0010001,Returning,PPO,SADP,Low,https://www.floridabluedental.com/members/individual-plan-documents/,8696,54881,2825,19015,**,**,**,**,**,**,**,**,24,194,**,29,**,**,**,**,11,**,**,**,**,21,**,176,35
Individual,FFE,FL,Florida Combined Life Insurance Company,30115,No,Yes,30115FL0020001,Returning,PPO,SADP,High,https://www.floridabluedental.com/members/individual-plan-documents/,8696,54881,2825,19015,**,**,**,**,**,**,**,**,86,1088,12,89,**,**,**,**,85,**,**,**,**,13,**,29,**
Individual,FFE,FL,Florida Combined Life Insurance Company,30115,No,Yes,30115FL0040001,Returning,PPO,SADP,Low,https://www.floridabluedental.com/members/individual-plan-documents/,8696,54881,2825,19015,**,**,**,**,**,**,**,**,6722,36768,2226,13602,**,**,27,**,11113,**,489,43,**,1493,2662,8870,1642
Individual,FFE,FL,Florida Combined Life Insurance Company,30115,No,Yes,30115FL0050001,Returning,PPO,SADP,High,https://www.floridabluedental.com/members/individual-plan-documents/,8696,54881,2825,19015,**,**,**,**,**,**,**,**,1864,16831,584,5295,**,**,**,**,3930,**,484,21,**,716,713,3436,486
Individual,FFE,MO,Humana Insurance Company,30613,No,Yes,30613MO0560001,Returning,PPO,SADP,Low,https://www.humana.com/member/plain-language-policy,1129,9019,429,2285,21,109,**,**,**,**,**,**,785,6160,274,1354,**,61,**,185,1228,31,**,290,**,**,321,1447,266
Individual,FFE,MO,Humana Insurance Company,30613,No,Yes,30613MO0560002,Returning,PPO,SADP,Low,https://www.humana.com/member/plain-language-policy,1129,9019,429,2285,21,109,**,**,**,**,**,**,344,2859,155,931,14,48,**,126,944,**,**,179,**,**,139,587,132
Individual,SPE,MT,Blue Cross and Blue Shield of Montana,30751,No,No,30751MT0580001,Returning,PPO,SADP,High,https://www.bcbsmt.com/insurance-basics/coverage-information/transparency-in-coverage,16027,231315,4393,92945,440,414,232,61,26.3,**,**,**,5904,5705,1369,746,180,156,**,**,389,56,**,17,**,224,1428,2146,258
Individual,SPE,MT,Blue Cross and Blue Shield of Montana,30751,No,No,30751MT0580002,Returning,PPO,SADP,Low,https://www.bcbsmt.com/insurance-basics/coverage-information/transparency-in-coverage,16027,231315,4393,92945,440,414,232,61,26.3,**,**,**,5739,5457,1173,698,138,149,**,**,386,30,**,29,**,157,1260,2463,333
Individual,SPE,MT,Blue Cross and Blue Shield of Montana,30751,No,No,30751MT0580003,Returning,PPO,SADP,High,https://www.bcbsmt.com/insurance-basics/coverage-information/transparency-in-coverage,16027,231315,4393,92945,440,414,232,61,26.3,**,**,**,234,144,67,11,13,**,**,**,20,**,**,**,**,17,41,48,**
Individual,SPE,MT,Blue Cross and Blue Shield of Montana,30751,No,No,30751MT0580004,Returning,PPO,SADP,Low,https://www.bcbsmt.com/insurance-basics/coverage-information/transparency-in-coverage,16027,231315,4393,92945,440,414,232,61,26.3,**,**,**,153,57,44,13,12,**,**,**,**,**,**,**,**,12,38,30,**
Individual,SPE,MT,Blue Cross and Blue Shield of Montana,30751,No,No,30751MT0580005,Returning,PPO,SADP,Low,https://www.bcbsmt.com/insurance-basics/coverage-information/transparency-in-coverage,16027,231315,4393,92945,440,414,232,61,26.3,**,**,**,3071,2840,814,640,97,109,**,**,214,**,**,**,**,102,1131,1585,263
Individual,SPE,MT,Blue Cross and Blue Shield of Montana,30751,No,No,30751MT0580006,New,PPO,SADP,Low,https://www.bcbsmt.com/insurance-basics/coverage-information/transparency-in-coverage,16027,231315,4393,92945,440,414,232,61,26.3,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,"DENCAP Dental Plans, Inc.",31256,No,Yes,31256MI0010002,Returning,HMO,SADP,High,https://dencap.com/general-policies/,**,14,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,150,32
Individual,SPE,MI,"DENCAP Dental Plans, Inc.",31256,No,Yes,31256MI0010006,Returning,HMO,SADP,High,https://dencap.com/general-policies/,**,14,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,449,143
Individual,SPE,MI,"DENCAP Dental Plans, Inc.",31256,No,Yes,31256MI0010007,Returning,HMO,SADP,High,https://dencap.com/general-policies/,**,14,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,103,24
Individual,SPE,HI,Humana Insurance Company,31358,Yes,Yes,31358HI0010001,New,PPO,SADP,Low,https://www.humana.com/member/plain-language-policy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,HI,Humana Insurance Company,31358,Yes,Yes,31358HI0010002,New,PPO,SADP,High,https://www.humana.com/member/plain-language-policy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,SC,TRUASSURE INSURANCE COMPANY,32126,No,Yes,32126SC0010001,Returning,PPO,SADP,Low,https://www.truassure.com/aca-plans.html,794,686,145,153,24,40,**,**,**,**,**,**,586,444,106,76,19,27,**,**,**,**,**,77,**,**,794,846,166
Individual,FFE,SC,TRUASSURE INSURANCE COMPANY,32126,No,Yes,32126SC0020001,Returning,PPO,SADP,High,https://www.truassure.com/aca-plans.html,794,686,145,153,24,40,**,**,**,**,**,**,208,242,39,77,**,13,**,**,**,**,**,32,**,**,78,194,45
Individual,FFE,SC,TRUASSURE INSURANCE COMPANY,32126,No,Yes,32126SC0030001,New,PPO,SADP,Low,https://www.truassure.com/aca-plans.html,794,686,145,153,24,40,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,NC,Humana Insurance Company,32237,No,Yes,32237NC0290001,Returning,PPO,SADP,Low,https://www.humana.com/member/plain-language-policy,8156,21036,2384,5232,22,60,**,**,**,**,**,**,5106,12038,1536,2824,18,34,**,478,2270,64,146,732,**,**,2090,1403,390
Individual,FFE,NC,Humana Insurance Company,32237,No,Yes,32237NC0290002,Returning,PPO,SADP,High,https://www.humana.com/member/plain-language-policy,8156,21036,2384,5232,22,60,**,**,**,**,**,**,3050,8998,848,2408,**,26,**,318,2166,26,18,452,**,**,1050,1704,474
Individual,FFE,NC,Humana Insurance Company,32237,No,Yes,32237NC0290003,New,PPO,SADP,Low,https://www.humana.com/member/plain-language-policy,8156,21036,2384,5232,22,60,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,MO,Healthy Alliance Life Co(Anthem BCBS),32753,No,No,32753MO0860003,Returning,PPO,SADP,Low,https://www.anthem.com,190817,3084955,110877,697983,31041,423516,185,74,40,**,**,**,1772,2955,265,281,15,120,**,**,204,**,**,**,**,**,342,978,152
Individual,FFE,MO,Healthy Alliance Life Co(Anthem BCBS),32753,No,No,32753MO0860004,Returning,PPO,SADP,High,https://www.anthem.com,190817,3084955,110877,697983,31041,423516,185,74,40,**,**,**,1844,2608,250,224,66,67,**,**,166,**,**,**,**,**,308,858,147
Individual,FFE,MO,Healthy Alliance Life Co(Anthem BCBS),32753,No,No,32753MO0860005,Returning,PPO,SADP,Low,https://www.anthem.com,190817,3084955,110877,697983,31041,423516,185,74,40,**,**,**,1125,1756,186,144,24,13,**,**,215,**,**,**,**,**,115,686,121
Individual,FFE,MO,Healthy Alliance Life Co(Anthem BCBS),32753,No,No,32753MO0860006,Returning,PPO,SADP,Low,https://www.anthem.com,190817,3084955,110877,697983,31041,423516,185,74,40,**,**,**,1012,1711,227,247,**,84,**,**,328,**,**,**,**,**,146,801,164
Individual,FFE,IN,"Health Resources, Inc.",33086,No,Yes,33086IN0060001,Returning,HMO,SADP,Low,https://www.insuringsmiles.com/find-a-plan/marketplace-dental/dental-transparency,19,1047,19,205,14,420,**,**,**,**,**,**,**,211,**,62,**,131,**,**,50,**,**,**,**,**,**,200,50
Individual,FFE,IN,"Health Resources, Inc.",33086,No,Yes,33086IN0060002,Returning,HMO,SADP,Low,https://www.insuringsmiles.com/find-a-plan/marketplace-dental/dental-transparency,19,1047,19,205,14,420,**,**,**,**,**,**,**,272,**,46,**,84,**,**,13,**,**,**,**,**,32,207,50
Individual,FFE,IN,"Health Resources, Inc.",33086,No,Yes,33086IN0060003,Returning,HMO,SADP,Low,https://www.insuringsmiles.com/find-a-plan/marketplace-dental/dental-transparency,19,1047,19,205,14,420,**,**,**,**,**,**,**,564,**,97,**,205,**,**,31,**,**,**,**,**,59,399,86
Individual,FFE,TX,Blue Cross Blue Shield of Texas,33602,No,No,33602TX0500001,Returning,PPO,SADP,High,https://www.bcbstx.com/insurance-basics/coverage-information/transparency-in-coverage,93129,11294449,27690,4110421,2424,7067,10968,6208,56.6,134,35,26.1,30764,95335,7546,18354,931,2352,**,**,9241,326,173,118,**,1094,14944,19662,3504
Individual,FFE,TX,Blue Cross Blue Shield of Texas,33602,No,No,33602TX0500002,Returning,PPO,SADP,Low,https://www.bcbstx.com/insurance-basics/coverage-information/transparency-in-coverage,93129,11294449,27690,4110421,2424,7067,10968,6208,56.6,134,35,26.1,22339,67386,5111,12309,548,1690,**,**,6220,215,91,48,**,620,10221,16739,2731
Individual,FFE,TX,Blue Cross Blue Shield of Texas,33602,No,No,33602TX0500003,Returning,PPO,SADP,High,https://www.bcbstx.com/insurance-basics/coverage-information/transparency-in-coverage,93129,11294449,27690,4110421,2424,7067,10968,6208,56.6,134,35,26.1,1726,6436,367,765,31,168,**,**,380,24,74,**,**,42,611,914,124
Individual,FFE,TX,Blue Cross Blue Shield of Texas,33602,No,No,33602TX0500004,Returning,PPO,SADP,Low,https://www.bcbstx.com/insurance-basics/coverage-information/transparency-in-coverage,93129,11294449,27690,4110421,2424,7067,10968,6208,56.6,134,35,26.1,1412,4783,390,552,61,93,**,**,219,15,30,**,**,64,614,895,148
Individual,FFE,TX,Blue Cross Blue Shield of Texas,33602,No,No,33602TX0500006,Returning,PPO,SADP,Low,https://www.bcbstx.com/insurance-basics/coverage-information/transparency-in-coverage,93129,11294449,27690,4110421,2424,7067,10968,6208,56.6,134,35,26.1,9922,32037,2991,8018,196,734,**,**,3123,78,48,**,**,240,7510,8487,1923
Individual,FFE,TX,Blue Cross Blue Shield of Texas,33602,No,No,33602TX0500007,New,PPO,SADP,Low,https://www.bcbstx.com/insurance-basics/coverage-information/transparency-in-coverage,93129,11294449,27690,4110421,2424,7067,10968,6208,56.6,134,35,26.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,TX,"Solstice Healthplans of Texas, Inc.",33626,No,Yes,33626TX0010001,Returning,EPO,SADP,High,https://www.solsticecare.com/claimsFaq.aspx,**,3140,**,1698,**,**,**,**,**,27,21,77.8,**,3140,**,1698,**,**,**,**,1092,**,**,**,**,299,303,4856,887
Individual,SPE,UT,Guardian Life Insurance Company of America,34028,No,Yes,34028UT0070012,New,PPO,SADP,Low,https://assets.ctfassets.net/jrhizl9l7csx/2y3iIRUakhVeP1wDQHwOF4/b56aee5e05352bc966541cd5709492e3/Transparency_in_Coverage_2024.pdf,537,3712,278,1435,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,UT,Guardian Life Insurance Company of America,34028,No,Yes,34028UT0070013,New,PPO,SADP,Low,https://assets.ctfassets.net/jrhizl9l7csx/2y3iIRUakhVeP1wDQHwOF4/b56aee5e05352bc966541cd5709492e3/Transparency_in_Coverage_2024.pdf,537,3712,278,1435,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,UT,Guardian Life Insurance Company of America,34028,No,Yes,34028UT0080005,New,PPO,SADP,Low,https://assets.ctfassets.net/jrhizl9l7csx/2y3iIRUakhVeP1wDQHwOF4/b56aee5e05352bc966541cd5709492e3/Transparency_in_Coverage_2024.pdf,537,3712,278,1435,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,AZ,"Solstice Healthplans of Arizona, Inc.",34095,No,Yes,34095AZ0010001,Returning,EPO,SADP,High,https://www.solsticecare.com/claimsFaq.aspx,**,2716,**,1596,**,**,**,**,**,**,**,**,**,2716,**,1596,**,**,**,**,978,**,17,**,**,597,**,3172,465
Individual,FFE,WI,Renaissance Life & Health Insurance Company of America,34210,No,Yes,34210WI0040003,Returning,PPO,SADP,Low,https://renaissancebenefits.com/understanding-your-benefits/affordable-care-act-coverage/,1781,2173,922,760,145,101,**,**,**,**,**,**,1165,1573,616,634,78,85,**,1006,120,**,59,75,**,50,514,610,88
Individual,FFE,WI,Renaissance Life & Health Insurance Company of America,34210,No,Yes,34210WI0050002,Returning,PPO,SADP,Low,https://renaissancebenefits.com/understanding-your-benefits/affordable-care-act-coverage/,1781,2173,922,760,145,101,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,N/A,N/A
Individual,FFE,WI,Renaissance Life & Health Insurance Company of America,34210,No,Yes,34210WI0070001,Returning,PPO,SADP,Low,https://renaissancebenefits.com/understanding-your-benefits/affordable-care-act-coverage/,1781,2173,922,760,145,101,**,**,**,**,**,**,616,600,306,126,67,16,**,543,63,**,29,**,**,**,63,341,56
Individual,FFE,WY,"Educators Health Plans Life, Accident, and Health, Inc",34588,No,Yes,34588WY0010001,Returning,PPO,SADP,High,https://emihealth.com/Policies/WyomingDental,4689,902,1625,237,342,28,**,**,**,**,**,**,325,92,145,32,14,**,**,**,108,**,15,29,**,25,**,118,29
Individual,FFE,WY,"Educators Health Plans Life, Accident, and Health, Inc",34588,No,Yes,34588WY0010002,Returning,PPO,SADP,Low,https://emihealth.com/Policies/WyomingDental,4689,902,1625,237,342,28,**,**,**,**,**,**,285,102,64,27,12,**,**,**,34,**,**,14,**,37,**,112,27
Individual,FFE,WY,"Educators Health Plans Life, Accident, and Health, Inc",34588,No,Yes,34588WY0010003,Returning,PPO,SADP,Low,https://emihealth.com/Policies/WyomingDental,4689,902,1625,237,342,28,**,**,**,**,**,**,978,267,351,59,44,11,**,**,210,**,26,38,**,133,**,396,76
Individual,FFE,WY,"Educators Health Plans Life, Accident, and Health, Inc",34588,No,Yes,34588WY0010004,Returning,PPO,SADP,Low,https://emihealth.com/Policies/WyomingDental,4689,902,1625,237,342,28,**,**,**,**,**,**,3101,441,1065,119,272,11,**,**,468,**,107,84,**,525,**,1037,185
Individual,SPE,MI,"Delta Dental Plan of Michigan, Inc.",34930,No,Yes,34930MI0150001,Returning,PPO,SADP,High,https://www.deltadentalmi.com/Member/Using-Your-Benefits/Affordable-Care-Act,4208,99330,1291,17031,277,6651,**,**,**,**,**,**,1178,28088,375,5668,71,1919,**,554,1128,**,1313,594,**,874,4536,4825,610
Individual,SPE,MI,"Delta Dental Plan of Michigan, Inc.",34930,No,Yes,34930MI0150002,Returning,PPO,SADP,Low,https://www.deltadentalmi.com/Member/Using-Your-Benefits/Affordable-Care-Act,4208,99330,1291,17031,277,6651,**,**,**,**,**,**,3021,70755,914,11303,206,4707,**,1490,2510,16,1955,1609,**,1855,8777,13576,1565
Individual,SPE,MI,"Delta Dental Plan of Michigan, Inc.",34930,No,Yes,34930MI0150003,New,PPO,SADP,High,https://www.deltadentalmi.com/Member/Using-Your-Benefits/Affordable-Care-Act,4208,99330,1291,17031,277,6651,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,"Delta Dental Plan of Michigan, Inc.",34930,No,Yes,34930MI0170001,Returning,PPO,SADP,High,https://www.deltadentalmi.com/Member/Using-Your-Benefits/Affordable-Care-Act,4208,99330,1291,17031,277,6651,**,**,**,**,**,**,**,145,**,**,**,**,**,**,**,**,**,**,**,**,**,21,**
Individual,SPE,MI,"Delta Dental Plan of Michigan, Inc.",34930,No,Yes,34930MI0170002,Returning,PPO,SADP,Low,https://www.deltadentalmi.com/Member/Using-Your-Benefits/Affordable-Care-Act,4208,99330,1291,17031,277,6651,**,**,**,**,**,**,**,342,**,51,**,25,**,**,**,**,**,13,**,29,48,52,**
Individual,SPE,OH,"DentaQuest National Insurance Company, Inc.",34964,No,Yes,34964OH0030001,Returning,PPO,SADP,High,https://www.dentaquest.com/content/dam/dentaquest/en/members/dcpg/DCPG-DT-transparency-in-coverage.pdf,**,4063,**,1416,**,**,**,**,**,**,**,**,**,16,**,**,**,**,**,**,**,**,**,**,**,**,**,29,**
Individual,SPE,OH,"DentaQuest National Insurance Company, Inc.",34964,No,Yes,34964OH0030003,Returning,PPO,SADP,High,https://www.dentaquest.com/content/dam/dentaquest/en/members/dcpg/DCPG-DT-transparency-in-coverage.pdf,**,4063,**,1416,**,**,**,**,**,**,**,**,**,1100,**,425,**,**,**,**,183,**,**,**,**,**,238,579,107
Individual,SPE,OH,"DentaQuest National Insurance Company, Inc.",34964,No,Yes,34964OH0030004,Returning,PPO,SADP,Low,https://www.dentaquest.com/content/dam/dentaquest/en/members/dcpg/DCPG-DT-transparency-in-coverage.pdf,**,4063,**,1416,**,**,**,**,**,**,**,**,**,1947,**,734,**,**,**,**,267,15,**,**,**,**,455,984,176
Individual,SPE,OH,"DentaQuest National Insurance Company, Inc.",34964,No,Yes,34964OH0030010,Returning,PPO,SADP,Low,https://www.dentaquest.com/content/dam/dentaquest/en/members/dcpg/DCPG-DT-transparency-in-coverage.pdf,**,4063,**,1416,**,**,**,**,**,**,**,**,**,1000,**,250,**,**,**,**,**,**,**,**,**,**,250,946,264
Individual,SPE,MI,BEST Life and Health Insurance Company,35700,No,Yes,35700MI0020003,Returning,PPO,SADP,High,https://www.bestlife.com/mi/index.html,23,89,19,48,**,**,**,**,**,**,**,**,**,46,**,23,**,**,**,**,21,**,**,**,**,**,**,149,29
Individual,SPE,MI,BEST Life and Health Insurance Company,35700,No,Yes,35700MI0020006,Returning,PPO,SADP,Low,https://www.bestlife.com/mi/index.html,23,89,19,48,**,**,**,**,**,**,**,**,**,12,**,**,**,**,**,**,**,**,**,**,**,**,**,121,24
Individual,SPE,MI,BEST Life and Health Insurance Company,35700,No,Yes,35700MI0020007,New,PPO,SADP,High,https://www.bestlife.com/mi/index.html,23,89,19,48,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,SPE,MI,BEST Life and Health Insurance Company,35700,No,Yes,35700MI0020008,New,PPO,SADP,Low,https://www.bestlife.com/mi/index.html,23,89,19,48,**,**,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Individual,FFE,MO,Renaissance Life & Health Insurance Company of America,35853,No,Yes,35853MO0040003,Returning,PPO,SADP,High,https://renaissancebenefits.com/understanding-your-benefits/affordable-care-act-coverage/,1435,6881,508,1935,94,374,**,**,**,**,**,**,594,2803,223,900,27,140,**,355,293,**,125,98,**,112,607,667,92
Individual,FFE,MO,Renaissance Life & Health Insurance Company of America,35853,No,Yes,35853MO0040004,Returning,PPO,SADP,Low,https://renaissancebenefits.com/understanding-your-benefits/affordable-care-act-coverage/,1435,6881,508,1935,94,374,**,**,**,**,**,**,684,3247,231,873,53,186,**,372,239,**,85,120,**,103,634,786,109
Individual,FFE,MO,Renaissance Life & Health Insurance Company of America,35853,No,Yes,35853MO0050003,Returning,PPO,SADP,High,https://renaissancebenefits.com/understanding-your-benefits/affordable-care-act-coverage/,1435,6881,508,1935,94,374,**,**,**,**,**,**,**,**,**,**,**,**,**,16,**,**,**,**,**,**,**,**,**
Individual,FFE,MO,Renaissance Life & Health Insurance Company of America,35853,No,Yes,35853MO0050004,Returning,PPO,SADP,Low,https://renaissancebenefits.com/understanding-your-benefits/affordable-care-act-coverage/,1435,6881,508,1935,94,374,**,**,**,**,**,**,**,32,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0
Individual,FFE,MO,Renaissance Life & Health Insurance Company of America,35853,No,Yes,35853MO0070001,Returning,PPO,SADP,Low,https://renaissancebenefits.com/understanding-your-benefits/affordable-care-act-coverage/,1435,6881,508,1935,94,374,**,**,**,**,**,**,149,790,46,154,**,44,**,58,94,**,**,**,**,25,60,292,54
Individual,SBE-FP,IL,Blue Cross Blue Shield of Illinois,36096,No,No,36096IL0830001,Returning,PPO,SADP,High,https://www.bcbsil.com/insurance-basics/coverage-information/transparency-in-coverage,401870,10556396,145788,2169193,11290,115642,2232,694,31.1,84,41,48.8,22106,66867,5939,12065,673,2234,**,**,5523,151,103,125,**,738,11353,15924,2051
Individual,SBE-FP,IL,Blue Cross Blue Shield of Illinois,36096,No,No,36096IL0830002,Returning,PPO,SADP,Low,https://www.bcbsil.com/insurance-basics/coverage-information/transparency-in-coverage,401870,10556396,145788,2169193,11290,115642,2232,694,31.1,84,41,48.8,12038,31891,3011,5244,348,1024,**,**,2356,57,41,68,**,376,5353,9342,1199
Individual,SBE-FP,IL,Blue Cross Blue Shield of Illinois,36096,No,No,36096IL0830003,Returning,PPO,SADP,High,https://www.bcbsil.com/insurance-basics/coverage-information/transparency-in-coverage,401870,10556396,145788,2169193,11290,115642,2232,694,31.1,84,41,48.8,396,778,67,46,47,**,**,**,20,**,**,**,**,46,47,145,**
Individual,SBE-FP,IL,Blue Cross Blue Shield of Illinois,36096,No,No,36096IL0830004,Returning,PPO,SADP,Low,https://www.bcbsil.com/insurance-basics/coverage-information/transparency-in-coverage,401870,10556396,145788,2169193,11290,115642,2232,694,31.1,84,41,48.8,101,414,38,51,**,26,**,**,**,**,**,**,**,**,76,75,**
Individual,SBE-FP,IL,Blue Cross Blue Shield of Illinois,36096,No,No,36096IL0830005,Returning,PPO,SADP,Low,https://www.bcbsil.com/insurance-basics/coverage-information/transparency-in-coverage,401870,10556396,145788,2169193,11290,115642,2232,694,31.1,84,41,48.8,3438,9867,1137,2707,94,247,**,**,852,16,**,**,**,102,2860,3231,612
Individual,SBE-FP,IL,Blue Cross Blue Shield of Illinois,36096,No,No,36096IL0830006,New,PPO,SADP,Low,https://www.bcbsil.com/insurance-basics/coverage-information/transparency-in-coverage,401870,10556396,145788,2169193,11290,115642,2232,694,31.1,84,41,48.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
